Product,Distributor,BBC SKU,Customer SKU,07/25/2026 F,07/25/2026 A,08/01/2026 F,08/01/2026 A,08/08/2026 F,08/08/2026 A,08/15/2026 F,08/15/2026 A,08/22/2026 F,08/22/2026 A,08/29/2026 F,08/29/2026 A,09/05/2026 F,09/05/2026 A,09/12/2026 F,09/12/2026 A,09/19/2026 F,09/19/2026 A,09/26/2026 F,09/26/2026 A,10/03/2026 F,10/03/2026 A,10/10/2026 F,10/10/2026 A
Samuel Adams Porch Rocker 12oz 2/12pk CN,076KOH,SA2K63,4021,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,
Samuel Adams Summer Ale 12oz 4/6pk BT,076KOH,SA3512,3844,50,50,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,
Samuel Adams Summer Ale 12oz 2/12pk BT,076KOH,SA3513,3843,50,50,0,0,0,0,0,0,29,,0,,0,,0,,0,,0,,0,,0,
Samuel Adams Summer Ale 1/6 BBL KEG,076KOH,SA3560,3860,25,25,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,
Samuel Adams Summer Ale 12oz 2/12pk CN,076KOH,SA3563,3842,50,50,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,
Samuel Adams Summer Ale 1/2 BBL KEG,076KOH,SA3590,3807,50,50,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,
Samuel Adams Summer Variety Pack 12oz 24pk CN,076KOH,SA7X33,4028,38,,38,,15,,5,,0,,0,,0,,0,,0,,0,,0,,0,
Samuel Adams Summer Variety Pack 12oz 2/12pk CN,076KOH,SA7X63,4016,104,,93,0,79,0,41,0,0,,0,,0,,0,,0,,0,,0,,0,
Samuel Adams Golden NA 12oz 4/6pk CN,076KOH,SA8Z66,4027,6,,7,,6,,6,,5,,4,,10,,9,,10,,8,,8,,7,
Samuel Adams Fall Variety Pack 12oz 24pk CN,076KOH,SACK33,,0,0,0,0,0,0,0,0,289,,254,,76,,67,,67,,67,,34,,24,
Samuel Adams Fall Variety Pack 12oz 2/12pk CN,076KOH,SACK63,3854,0,0,0,0,0,0,0,0,364,,320,,265,,306,,261,,234,,201,,126,
Samuel Adams Juicy IPA 1/6 BBL KEG,076KOH,SAT960,4033,1,,1,,1,,1,,2,,2,,2,,1,,2,,1,,1,,1,
Samuel Adams Juicy IPA 12oz 2/12pk CN,076KOH,SAT963,4031,8,,8,,9,,10,,13,,13,,11,,9,,11,,9,,9,,9,
Samuel Adams Juicy IPA 12oz 4/6pk CN,076KOH,SAT966,4030,5,,5,,6,,6,,8,,9,,7,,6,,7,,6,,6,,6,
Samuel Adams Juicy IPA 1/2 BBL KEG,076KOH,SAT990,4032,1,,1,,1,,1,,2,,2,,1,,1,,1,,1,,1,,1,
Samuel Adams Jack-O Pumpkin Ale 12oz 4/6pk BT,076KOH,SAVP12,3953,0,0,0,0,0,0,0,0,316,,295,,210,,226,,233,,225,,201,,199,
Samuel Adams Jack-O Pumpkin Ale 12oz 2/12pk BT,076KOH,SAVP13,3954,0,0,0,0,0,0,0,0,94,,68,,66,,67,,92,,71,,53,,60,
Samuel Adams Jack-O Pumpkin Ale 12oz 2/12pk CN,076KOH,SAVP63,,0,0,0,0,0,0,0,0,123,,77,,42,,43,,43,,39,,32,,33,
Samuel Adams Non-Alcoholic Hazy IPA 12oz 2/12pk CN,076KOH,SAWC63,4026,8,,13,,10,,7,,7,,8,,7,,6,,6,,6,,5,,7,
Samuel Adams Non-Alcoholic Hazy IPA 12oz 4/6pk CN,076KOH,SAWC66,4012,23,,28,,29,,28,,28,,30,,26,,25,,24,,23,,21,,24,
Samuel Adams American Light  12oz 4/6pk BT,076KOH,SAX712,4039,13,,13,,14,,15,,20,,20,,17,,14,,16,,15,,15,,14,
Samuel Adams American Light  1/6 BBL KEG,076KOH,SAX760,4043,2,,2,,2,,2,,3,,3,,3,,2,,2,,2,,2,,2,
Samuel Adams American Light  12oz 2/12pk CN,076KOH,SAX763,4040,11,,11,,12,,13,,18,,18,,14,,12,,14,,13,,13,,12,
Samuel Adams High Alc Cherry Bomb 19.2oz 12pk CN,076KOH,SB5M54,4054,7,,7,,8,,8,,11,,11,,9,,8,,9,,8,,8,,8,
