Product,Inventory,Purchases,Invoices,Pending Invoices,Loaded,Picked,Delivered,Unsellable,In Production,On-Floor,Pre-Sales,Allocated,Available
10723 Bell's Official Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10724 Bell's Official 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10730 Bell's Hazy Hearted IPA 4/6/12 oz Can,31,0,0,0,2,0,0, (18),0,47,0,0,47
10731 Bell's Light Hearted Ale 4/6/12 oz Can,24,0,0,1,1,0,0,0,0,22,0,0,22
10732 Bell's Light Hearted Ale 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10733 Bell's Light Hearted Ale Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10734 Bell's Light Hearted Ale 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10741 Bell's Lager Of The Lakes 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10742 Bell's Lager Of The Lakes 2/12/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10743 Bell's Lager Of The Lakes Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10751 Bell's Amber Ale 4/6/12 oz Btl,37,0,0,0,0,0,0,0,0,37,0,0,37
10752 Bell's Amber Ale 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10753 Bell's Amber Ale 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10754 Bell's Double Two Hearted 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10755 Bell's Variety 2/12/12 oz Can,88,0,0,0,0,0,0, (1),0,89,1,0,88
10756 Bell's Kalamazoo Stout 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
10757 Bell's Kalamazoo Stout 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10758 Bell's Expedition Stout 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10760 Bell's Quite Brite 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
10761 Bell's Porter 4/6/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
10762 Bell's Third Coast Old Ale Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10763 Bell's Third Coast Old Ale Keg 7.75 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
10766 Bell's Tropical Oberon 6/4/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
10767 Bell's Oktoberfest 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
