Package ID,Package,Fluid Ounces Per Case,Case Equiv Description,Case Weight in Lbs,Case Equiv,Wholesale Units per Case,Retail Units per Case,Consumable Units per Case,Servings per Case,Selling Unit Of Measure,Container Type,Pick Units Per Case
240,0/0/30.00 oz,180,Beer,25,0.6250,1,1,6,1,3) Case (CA),Aluminum Can,1
241,0/0/305.00 oz,305,Beer,27,1.059028,1,1,1,1,3) Case (CA),Aluminum Can,1
242,0/0/32.00 oz,384,Beer,25,1.333333,1,1,12,1,3) Case (CA),Aluminum Can,1
243,0/0/33.78 oz,608,Beer,25,2.111111,1,1,18,1,3) Case (CA),Aluminum Can,1
244,0/0/33.80 oz,169,Beer,20.50,0.586806,1,1,5,1,3) Case (CA),Aluminum Can,1
245,0/0/33.83 oz,203,Beer,20.50,0.704861,1,1,6,1,3) Case (CA),Aluminum Can,1
246,0/0/336.00 oz,336,Beer,25,1.166667,1,1,1,1,3) Case (CA),Aluminum Can,1
247,0/0/384.00 oz,384,Beer,20.50,1.333333,1,1,1,1,3) Case (CA),Aluminum Can,1
248,0/0/4.21 oz,101,Beer,25,0.350694,1,1,24,1,3) Case (CA),Aluminum Can,1
249,0/0/40.00 oz,480,Beer,25,1.666667,1,1,12,1,3) Case (CA),Aluminum Can,1
250,0/0/40.53 oz,608,Beer,25,2.111111,1,1,15,1,3) Case (CA),Aluminum Can,1
251,0/0/41.50 oz,166,Beer,25,0.576389,1,1,4,1,3) Case (CA),Aluminum Can,1
252,0/0/42.00 oz,504,Beer,25,1.75,1,1,12,1,3) Case (CA),Aluminum Can,1
253,0/0/5.08 oz,122,Beer,20.50,0.423611,1,1,24,1,3) Case (CA),Aluminum Can,1
254,0/0/50.67 oz,304,Beer,25,1.055556,1,1,6,1,3) Case (CA),Aluminum Can,1
255,0/0/50.83 oz,305,Beer,20.50,1.059028,1,1,6,1,3) Case (CA),Aluminum Can,1
256,0/0/59.17 oz,355,Beer,25,1.232639,1,1,6,1,3) Case (CA),Aluminum Can,1
257,0/0/640.00 oz,640,Beer,25,2.222222,1,1,1,1,3) Case (CA),Aluminum Can,1
258,0/0/660.00 oz,660,Beer,25,2.291667,1,1,1,1,3) Case (CA),Aluminum Can,1
259,0/0/666.00 oz,666,Beer,25,2.3125,1,1,1,1,3) Case (CA),Aluminum Can,1
260,0/0/676.00 oz,676,Beer,20.50,2.347222,1,1,1,1,3) Case (CA),Aluminum Can,1
