Sales Rep Assigned / Supplier / Brand Family,Qualifier Brands,Case Equiv   6/1/2025 - 8/31/2025,Case Equiv   6/1/2026 - 8/31/2026,( Case Equiv   6/1/2026 - 8/31/2026) Goals,( Case Equiv   6/1/2026 - 8/31/2026) % of Goals,Case Equiv Unit Difference
Pacifico,,1115,237,,0%,-878
Victoria,,1714,298,,0%,-1417
Constellation Brands,Qualifier: Modelo/Corona,57787,8363,57375,14.6%,-49424
Corona Extra,,32998,5006,,0%,-27992
Modelo Especial,,24789,3357,,0%,-21432
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,477,86,,0%,-391
Yuengling Flight,,217,32,,0%,-185
Yuengling Light Lager,,260,54,,0%,-206
DG Yuengling Inc,Qualifier: Yuengling Lager,2411,441,2363,18.7%,-1970
Yuengling Lager,,2411,441,,0%,-1970
Heineken USA,Amplify: Heineken Light / Heineken 0.0,1492,203,,0%,-1289
Heineken 0.0,,719,93,,0%,-626
Heineken Light,,773,110,,0%,-663
Heineken USA,Qualifier: Heineken USA,12384,1619,11641,13.9%,-10765
Heineken USA,,12384,1619,,0%,-10765
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,1755,331,,0%,-1424
Cayman Jack,,1373,270,,0%,-1102
Mike's Harder,,373,59,,0%,-314
Mxd Cocktails,,9,1,,0%,-8
Mark Anthony,Qualifier: White Claw,6394,947,5755,16.5%,-5448
White Claw,,6394,947,,0%,-5448
MolsonCoors Beverage Company,Amplify: Coors / Peroni,3336,637,,0%,-2699
Coors,,2121,372,,0%,-1749
Peroni,,1215,266,,0%,-950
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,23343,3692,22919,16.1%,-19651
Blue Moon,,2531,415,,0%,-2116
Coors Light,,13586,2090,,0%,-11495
Lite,,7226,1187,,0%,-6040
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,1232,228,,0%,-1004
Fat Tire Family,,167,18,,0%,-149
Kirin Ichiban,,47,23,,0%,-24
Voodoo Family,,1018,187,,0%,-831
Sapporo,Amplify: Sapporo,1419,243,,0%,-1176
Sapporo,,1419,243,,0%,-1176
Default,,1945,55,,0%,-1890
Boston Beer Company,Amplify: Dogfish Head,28,14,,0%,-14
Dogfish Head Beer,,28,14,,0%,-14
Boston Beer Company,Qualifier: Truly / Twisted Tea,107,-87,100,-87.0%,-194
Truly,,46,,,0%,-46
Twisted Tea,,61,-87,,0%,-148
Cape May,Amplify: Cape May,25,,,0%,-25
Cape May,,25,,,0%,-25
Constellation Brands,Qualifier: Modelo/Corona,220,,217,0%,-220
Corona Extra,,158,,,0%,-158
Modelo Especial,,62,,,0%,-62
DG Yuengling Inc,Qualifier: Yuengling Lager,289,55,284,19.4%,-234
Yuengling Lager,,289,55,,0%,-234
Heineken USA,Qualifier: Heineken USA,12,18,,0%,6
Heineken USA,,12,18,,0%,6
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,15,,,0%,-15
Cayman Jack,,15,,,0%,-15
Mark Anthony,Qualifier: White Claw,77,,69,0%,-77
White Claw,,77,,,0%,-77
MolsonCoors Beverage Company,Amplify: Coors / Peroni,254,,,0%,-254
Coors,,188,,,0%,-188
Peroni,,66,,,0%,-66
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,893,55,,0%,-838
Blue Moon,,107,,,0%,-107
Coors Light,,205,34,,0%,-170
Lite,,581,21,,0%,-561
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,25,,,0%,-25
Fat Tire Family,,14,,,0%,-14
Voodoo Family,,12,,,0%,-12
Derrick Laws,,116629,13614,,0%,-103015
Boston Beer Company,Amplify: Dogfish Head,191,14,,0%,-177
Dogfish Head Beer,,126,14,,0%,-112
Dogfish Head Spirits,,65,,,0%,-65
Boston Beer Company,Qualifier: Truly / Twisted Tea,952,95,875,10.9%,-858
Truly,,209,14,,0%,-195
Twisted Tea,,743,81,,0%,-663
Cape May,Amplify: Cape May,117,27,,0%,-90
Cape May,,117,27,,0%,-90
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,4173,555,,0%,-3618
Modelo Chelada,,2407,276,,0%,-2131
Pacifico,,543,81,,0%,-462
Victoria,,1223,198,,0%,-1025
Constellation Brands,Qualifier: Modelo/Corona,69859,8318,69253,12.0%,-61541
Corona Extra,,43496,4995,,0%,-38501
Modelo Especial,,26363,3323,,0%,-23040
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,84,15,,0%,-69
Yuengling Flight,,65,15,,0%,-50
Yuengling Light Lager,,19,,,0%,-19
DG Yuengling Inc,Qualifier: Yuengling Lager,658,118,645,18.3%,-540
Yuengling Lager,,658,118,,0%,-540
Heineken USA,Amplify: Heineken Light / Heineken 0.0,2077,153,,0%,-1924
Heineken 0.0,,494,28,,0%,-466
Heineken Light,,1583,125,,0%,-1458
Heineken USA,Qualifier: Heineken USA,13154,1240,12364,10.0%,-11914
Heineken USA,,13154,1240,,0%,-11914
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,1174,176,,0%,-999
Cayman Jack,,770,92,,0%,-678
Mike's Harder,,136,30,,0%,-106
Mxd Cocktails,,268,53,,0%,-215
Mark Anthony,Qualifier: White Claw,1801,217,1621,13.4%,-1584
White Claw,,1801,217,,0%,-1584
MolsonCoors Beverage Company,Amplify: Coors / Peroni,2351,321,,0%,-2030
Coors,,1888,260,,0%,-1627
Peroni,,464,61,,0%,-403
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,19388,2309,19010,12.1%,-17079
Blue Moon,,729,84,,0%,-645
Coors Light,,16713,1984,,0%,-14729
Lite,,1946,241,,0%,-1705
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,230,20,,0%,-210
Fat Tire Family,,5,,,0%,-5
Voodoo Family,,225,20,,0%,-205
Sapporo,Amplify: Sapporo,418,35,,0%,-383
Sapporo,,418,35,,0%,-383
Dylan Rubino,,3960,578,,0%,-3383
Boston Beer Company,Amplify: Dogfish Head,2,,,0%,-2
Dogfish Head Beer,,2,,,0%,-2
Boston Beer Company,Qualifier: Truly / Twisted Tea,17,3,30,10.0%,-14
Truly,,9,3,,0%,-6
Twisted Tea,,8,,,0%,-8
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,16,1,,0%,-15
Modelo Chelada,,7,1,,0%,-6
Victoria,,9,,,0%,-9
Constellation Brands,Qualifier: Modelo/Corona,228,54,227,23.8%,-174
Corona Extra,,127,29,,0%,-98
Modelo Especial,,101,25,,0%,-76
