Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   8/1/2026 - 8/31/2026,Case Equivalents   8/1/2026 - 8/31/2026,Units   8/1/2026 - 8/31/2026
Andrew Lundy,250443,Buyrite Liquors,3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/13/2026,1.00,1.00,2.80,3.00
Andrew Lundy,250027,Wine Anthology (A),8235,Doc's Pumpkin Cider (Fall) 6/4/16 oz Can,Case Cider,6/4/16oz Can,Doc's,8/26/2026,1.00,1.00,1.33,1.00
Andrew Lundy,250042,Pied Piper Liquor,3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/25/2026,1.00,1.00,0.93,1.00
Andrew Lundy,250087,House of Wine & Liquor Westfield,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/13/2026,1.00,1.00,5.00,5.00
Andrew Lundy,250443,Buyrite Liquors,3330,Hofbrau Oktoberfest 2/5 L Keg Can,Case Beer,2/5 Liter Keg,Hofbrau Usa,8/13/2026,1.00,1.00,2.36,2.00
Andrew Lundy,250048,Park Beverage,3330,Hofbrau Oktoberfest 2/5 L Keg Can,Case Beer,2/5 Liter Keg,Hofbrau Usa,8/12/2026,1.00,1.00,3.54,3.00
Andrew Lundy,250143,Jersey Fine Wines,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/11/2026,1.00,1.00,1.00,1.00
Andrew Lundy,250024,Best Cellars (Summit),5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/11/2026,1.00,1.00,5.00,5.00
Andrew Lundy,250011,Shop Rite of Westfield,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/14/2026,1.00,1.00,3.00,3.00
Andrew Lundy,250023,Bottle King Springfield,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/19/2026,1.00,1.00,3.00,3.00
Andrew Lundy,250071,Total Wine & More (Union),5324,Great Lakes Oktoberfest 4/6/12 oz Can,Case Beer,4/6/12oz Can,Great Lakes,8/21/2026,1.00,1.00,3.00,3.00
Andrew Lundy,250023,Bottle King Springfield,8235,Doc's Pumpkin Cider (Fall) 6/4/16 oz Can,Case Cider,6/4/16oz Can,Doc's,8/19/2026,1.00,1.00,1.33,1.00
Andrew Lundy,250023,Bottle King Springfield,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/12/2026,1.00,1.00,4.00,4.00
Andrew Lundy,250048,Park Beverage,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/5/2026,1.00,1.00,5.00,5.00
Andrew Lundy,250139,Providence Liquors,8235,Doc's Pumpkin Cider (Fall) 6/4/16 oz Can,Case Cider,6/4/16oz Can,Doc's,8/10/2026,1.00,1.00,1.33,1.00
Andrew Lundy,250027,Wine Anthology (A),5324,Great Lakes Oktoberfest 4/6/12 oz Can,Case Beer,4/6/12oz Can,Great Lakes,8/12/2026,1.00,1.00,3.00,3.00
