cust,name,rep,premise,city,brand,package,prog_cases,post_cases,rebuys
14017,The Chariot,Allison Scott,On Premise,Totowa,Lite,24/12oz NR,5,5,1
15004,Blackjack Mulligan's Public House,Allison Scott,On Premise,Woodland Park,Coors,24/12oz NR,3,4,3
15004,Blackjack Mulligan's Public House,Allison Scott,On Premise,Woodland Park,Coors,2/12/12oz NR,1,0,0
15004,Blackjack Mulligan's Public House,Allison Scott,On Premise,Woodland Park,Coors Light,24/12oz NR,108,44,8
15004,Blackjack Mulligan's Public House,Allison Scott,On Premise,Woodland Park,Lite,15.5 Gal Keg,17,9,7
15004,Blackjack Mulligan's Public House,Allison Scott,On Premise,Woodland Park,Lite,24/12oz NR,120,48,7
15004,Blackjack Mulligan's Public House,Allison Scott,On Premise,Woodland Park,Lite,24/16oz Btl,6,0,0
15004,Blackjack Mulligan's Public House,Allison Scott,On Premise,Woodland Park,Peroni,15.5 Gal Keg,3,0,0
15004,Blackjack Mulligan's Public House,Allison Scott,On Premise,Woodland Park,Peroni,1/4 BBL Keg (7.75 Gal),1,0,0
15006,Great Notch Inn(Z),Allison Scott,On Premise,Little Falls,Coors,24/12oz NR,10,5,1
15006,Great Notch Inn(Z),Allison Scott,On Premise,Little Falls,Coors Light,24/12oz NR,25,25,1
15006,Great Notch Inn(Z),Allison Scott,On Premise,Little Falls,Lite,24/12oz NR,40,20,1
15036,River Terrace Inn(P),Allison Scott,On Premise,Paterson,Coors,24/12oz NR,7,0,0
15036,River Terrace Inn(P),Allison Scott,On Premise,Paterson,Coors Light,24/12oz NR,10,25,1
15036,River Terrace Inn(P),Allison Scott,On Premise,Paterson,Lite,24/12oz NR,40,40,2
15036,River Terrace Inn(P),Allison Scott,On Premise,Paterson,Peroni,4/6/11.2oz Can,5,0,0
15036,River Terrace Inn(P),Allison Scott,On Premise,Paterson,Peroni,2/12/11.2oz Can,10,10,1
15036,River Terrace Inn(P),Allison Scott,On Premise,Paterson,Peroni,6/4/16oz Can,6,0,0
15048,D'carbon Restaurant,Allison Scott,On Premise,West Paterson,Coors Light,24/12oz NR,3,2,2
15067,Naxos Estiatorio,Allison Scott,On Premise,Woodland Park,Peroni,4/6/11.2oz NR,18,10,4
15067,Naxos Estiatorio,Allison Scott,On Premise,Woodland Park,Peroni,4/6/11.2oz NR,5,3,3
15070,Brownstone House,Allison Scott,On Premise,Paterson,Lite,15.5 Gal Keg,10,0,0
15074,Bask 46,Allison Scott,On Premise,Woodland Park,Coors,24/12oz NR,2,0,0
15074,Bask 46,Allison Scott,On Premise,Woodland Park,Coors Light,15.5 Gal Keg,10,4,4
15074,Bask 46,Allison Scott,On Premise,Woodland Park,Coors Light,24/12oz NR,17,5,2
15074,Bask 46,Allison Scott,On Premise,Woodland Park,Lite,24/12oz NR,60,30,6
15074,Bask 46,Allison Scott,On Premise,Woodland Park,Lite,2/12/12oz NR,10,0,0
15074,Bask 46,Allison Scott,On Premise,Woodland Park,Peroni,15.5 Gal Keg,5,2,2
17001,Underdog Lounge(P),Allison Scott,On Premise,Haledon,Coors Light,15.5 Gal Keg,2,1,1
17001,Underdog Lounge(P),Allison Scott,On Premise,Haledon,Coors Light,24/12oz NR,7,4,2
17001,Underdog Lounge(P),Allison Scott,On Premise,Haledon,Lite,24/12oz NR,6,2,2
17003,D'CARBON BAR AND GRILL haledon,Allison Scott,On Premise,Haledon,Coors Light,1/4 BBL Keg (7.75 Gal),1,1,1
17003,D'CARBON BAR AND GRILL haledon,Allison Scott,On Premise,Haledon,Coors Light,24/12oz NR,3,1,1
17003,D'CARBON BAR AND GRILL haledon,Allison Scott,On Premise,Haledon,Lite,24/12oz NR,1,0,0
17003,D'CARBON BAR AND GRILL haledon,Allison Scott,On Premise,Haledon,Peroni,4/6/11.2oz NR,2,0,0
17006,The Yard,Allison Scott,On Premise,Haledon,Coors Light,24/12oz NR,13,8,2
17006,The Yard,Allison Scott,On Premise,Haledon,Lite,15.5 Gal Keg,10,3,3
17006,The Yard,Allison Scott,On Premise,Haledon,Lite,24/12oz NR,5,4,1
17009,Jimmy Geez (P),Allison Scott,On Premise,Haledon,Coors Light,15.5 Gal Keg,16,8,7
17009,Jimmy Geez (P),Allison Scott,On Premise,Haledon,Coors Light,24/12oz NR,8,2,1
17009,Jimmy Geez (P),Allison Scott,On Premise,Haledon,Lite,15.5 Gal Keg,17,9,8
17009,Jimmy Geez (P),Allison Scott,On Premise,Haledon,Lite,24/12oz NR,14,4,2
17009,Jimmy Geez (P),Allison Scott,On Premise,Haledon,Peroni,1/4 BBL Keg (7.75 Gal),6,3,3
19002,Puzo's Pizza,Allison Scott,On Premise,Hawthorne,Coors Light,24/12oz NR,8,8,4
19002,Puzo's Pizza,Allison Scott,On Premise,Hawthorne,Peroni,4/6/11.2oz NR,3,2,2
19004,Shortways' Barn (A),Allison Scott,On Premise,Hawthorne,Coors Light,15.5 Gal Keg,14,5,5
19004,Shortways' Barn (A),Allison Scott,On Premise,Hawthorne,Coors Light,24/12oz NR,150,75,3
19004,Shortways' Barn (A),Allison Scott,On Premise,Hawthorne,Lite,15.5 Gal Keg,17,7,6
19004,Shortways' Barn (A),Allison Scott,On Premise,Hawthorne,Lite,24/12oz NR,220,120,6
