Sales Rep Assigned,Customer Num,Customer Name,Buyer Count   2026
Dan Lagala,43031,La Fortuna (P),1.00
Dan Lagala,43022,C & C Bar Factory,1.00
Dan Lagala,45018,Duri Pocha,1.00
Dan Lagala,46027,Grand Wine Bar/Karaoke(Z),1.00
Dan Lagala,46010,So Noon Nan Jib,1.00
Dan Lagala,44048,Clubhouse Cafe (P),1.00
Dan Lagala,44025,Rudys (A),1.00
Dan Lagala,44038,Palisadium Club,1.00
Dan Lagala,46017,Mariachi (Roku) (Z),1.00
Dan Lagala,44044,Sonsonate Rest(P),1.00
Dan Lagala,43032,El Caporal Mexican Food,1.00
Dan Lagala,49065,Haven Rest/Bar (A),1.00
Dan Lagala,46006,Rock 21,1.00
Dan Lagala,49024,Ventana's Restaurant,1.00
Dan Lagala,49090,Homewood Suites Edgewater,1.00
Dan Lagala,49074,Dong Bang Grill,1.00
Dan Lagala,44047,Sedona Tap House,1.00
Dan Lagala,49018,Jumong Restaurant,1.00
Dan Lagala,46031,Kang Ho Dong,1.00
Dan Lagala,46029,Hanam Daeji,1.00
Dan Lagala,44012,690 Park,1.00
Dave Ehlers,52013,Lulu Lounge,1.00
Derrick Laws,20127,Brothers A&C Pizza (P),1.00
Derrick Laws,20048,Downtown Cafe (P),1.00
Derrick Laws,15008,Westmount Country Club,1.00
Derrick Laws,15069,Mexico Bar & Grill,1.00
Derrick Laws,20089,Carlitto's Bar(P),1.00
Derrick Laws,21012,Elks Ldge 333 (Z) Pater.,1.00
Derrick Laws,20075,Griselda Rest.(A),1.00
Derrick Laws,27027,Shamrock B&G (P),1.00
Derrick Laws,22053,Rincon Centroamericano,1.00
Derrick Laws,20058,Krystal Bar(P) & Liqs.,1.00
Derrick Laws,20028,Integrity Masonic,1.00
Derrick Laws,20131,El Fogon Rest,1.00
Derrick Laws,20038,Patsy's (A) Tavern,1.00
Jaime Colonna,49001,Don Coqui,1.00
Javier Melo,20104,Roses Bar & Liquors,1.00
Javier Melo,27102,Fragancia Sports Bar,1.00
Javier Melo,27055,Don Lalo Restaurant,1.00
Javier Melo,27001,Fiesta Night Club(P),1.00
Javier Melo,27076,El Asadero Mexican Grill (Passaic),1.00
Javier Melo,22065,Mambo Lounge (P),1.00
Javier Melo,27039,Venus Bar & Restaurant,1.00
Javier Melo,27009,La Rancherita,1.00
Javier Melo,20110,The Cathedral Restaurant,1.00
Javier Melo,24018,Agave Cantina Mexicana,1.00
Javier Melo,27051,Factory 220,1.00
Javier Melo,27146,Foxes Place,1.00
Javier Melo,37066,La Fortaleza (Garfield),1.00
Javier Melo,38046,La Fortaleza (Lodi),1.00
Javier Melo,27108,Los Arcos (P) Rest.,1.00
Javier Melo,26003,La Casona Cafe Restaurant Bar,1.00
Javier Melo,27095,Club Sq (A),1.00
Javier Melo,27144,La Fortaleza (Passaic),1.00
Javier Melo,27018,Cantina Bar,1.00
Javier Melo,27044,Clary's Restaurant & Bar,1.00
Javier Melo,36026,Agave Cocina Mexicana,1.00
Javier Melo,20055,Paruta's (A),1.00
Javier Melo,15085,Reign,1.00
Javier Melo,27077,Mojito Bar,1.00
Javier Melo,24034,La Fortaleza (Clifton),1.00
Javier Melo,21005,La Fuente Bar (A),1.00
Javier Melo,27111,Davids' Place (P),1.00
Javier Melo,27119,El Chever (P),1.00
Javier Melo,27053,Rumba Bar,1.00
Javier Melo,20061,Seguidilla 56 Lounge & Liquors,1.00
Javier Melo,24042,Made in Miami Bar Bistro,1.00
Javier Melo,27085,Cazadores Bar (Z) LLC,1.00
Javier Melo,27094,El Anochecer,1.00
Jim Heaney,30030,Sonoma Bistro,1.00
Klejdi Lamo,190702,Smith's Tavern,1.00
Matt Powierski,37060,Pazza Luna (P),1.00
Matt Powierski,36043,Sports Bar & Liquors,1.00
Matt Powierski,33003,Segovia,1.00
Matt Powierski,33006,Bazzarellis (Z),1.00
Matt Powierski,77017,Hook & Reel,1.00
Matt Powierski,37075,Deja Vu (Z),1.00
Matt Powierski,37047,Dp's Pub & Seafood Grill,1.00
Matt Powierski,37001,Good Fella's (Z) Rest.,1.00
Matt Powierski,33004,Gray Cliff (A),1.00
Matt Powierski,37038,Wisla Center (Z),1.00
Matt Powierski,37026,"Michele (Z) Rest,",1.00
Matt Powierski,37050,Royal Manor,1.00
Matt Powierski,36025,Karol's Pub (A),1.00
Matt Powierski,37040,The Venetian,1.00
Matt Powierski,32009,American Lgn (P) (Carlstadt),1.00
