Customer Num,Customer Name,Area,Shipping Address,City,Date,Sales Rep Name,District Manager Name,Brand,Brand Family,Supplier,Units   2026
190214,Johnnie's Tavern,Morris 1,301 Boonton Ave,Boonton,8/24/2026,Brian Sengebush,Chris McCrohan,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,1.00
12022,Grasshopper Too (A),Passaic,26 Erie Ave,Wayne,8/24/2026,Allison Scott,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,2.00
78007,Woodstone Pizza B & G,Bergen,352 W. Passaic Street,Rochelle Park,8/24/2026,Nick Melissari,Chris McCrohan,Miller Lite,Lite,MolsonCoors Beverage Company,1.00
31056,H Mart Inc (Space A103),Bergen,1 American Dream Way,East Rutherford,8/24/2026,Nick Melissari,Chris McCrohan,Forged Irish Stout,Forged Irish Stout,Forged Irish Stout,1.00
41020,Lidos Restaurant (P),Bergen,701 Main St,Hackensack,8/24/2026,Paul Mclaughlin,Chris McCrohan,Sam Adams Winter White Ale,Samuel Adams,Boston Beer Company,-1.00
1005,Grasshopper Irish Pub (A),Passaic,2891 Route 23,Newfoundland,8/24/2026,Allison Scott,Chris McCrohan,Hacker-Pschorr Oktoberfest,Hacker-Pschorr,Paulaner,1.00
190923,Knotty Pine Pub (P),Morris 1,242 E Union Turnpike,Wharton,8/24/2026,Brian Sengebush,Chris McCrohan,New Belgium Voodoo Ranger Juicy Haze IPA,Voodoo Family,New Belgium Brewing Company,1.00
41020,Lidos Restaurant (P),Bergen,701 Main St,Hackensack,8/24/2026,Paul Mclaughlin,Chris McCrohan,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,1.00
190214,Johnnie's Tavern,Morris 1,301 Boonton Ave,Boonton,8/24/2026,Brian Sengebush,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,3.00
31056,H Mart Inc (Space A103),Bergen,1 American Dream Way,East Rutherford,8/24/2026,Nick Melissari,Chris McCrohan,Montauk Wave Chaser IPA,Montauk,Montauk Brewing Co,1.00
92007,Brady's At(A)The Station,Bergen,5 W Main St,Ramsey,8/24/2026,Nick Melissari,Chris McCrohan,Miller Lite,Lite,MolsonCoors Beverage Company,1.00
