Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,County,City,Area,Premise,Buyer Count   2026,Cases   2026
Alex Rodriguez,250300,Jackson Liquors,426 Jackson Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,181.00
Alex Rodriguez,250302,New Silver Key Liquor 4,594 Pennsylvania Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,102.00
Alex Rodriguez,250303,Olga's Place,212 Lt.Glenn Zamolski Dr,Union,Union,Elizabeth,Union,On Premise,1.00,39.00
Alex Rodriguez,250305,Valenca Rest & Liquor,665 Monroe Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,76.00
Alex Rodriguez,250308,Super Discount Liquors,825 Rahway Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,270.00
Alex Rodriguez,250310,Rancho Mateo Colombian Steakhouse,248 Morris Ave,Union,Union,Elizabeth,Union,On Premise,1.00,96.00
Alex Rodriguez,250315,Cantinho Liquors,1041 North Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,122.00
Alex Rodriguez,250316,Rancho Mateo Asadero Colombian,27 Westfield Ave,Union,Union,Elizabeth,Union,On Premise,1.00,41.00
Alex Rodriguez,253000,Leland Liquor & Deli,296-298 Leland Ave,Union,Union,Plainfield,Union,Off Premise,1.00,307.00
Alex Rodriguez,253002,Golden Anchor Bar,1217 W Front St,Union,Union,Plainfield,Union,On Premise,1.00,130.00
Alex Rodriguez,253003,Tequila Club,315 E 5th St.,Union,Union,Plainfield,Union,On Premise,1.00,77.00
Alex Rodriguez,253004,The Bridge Bar,50-54 Watchung Ave,Union,Union,North Plainfield,Union,On Premise,1.00,22.00
Alisa Acciardi,121004,Harry's Wine Cellar,297 Broadway,Hudson,Hudson,Bayonne,Hudson,Off Premise,1.00,292.00
Alisa Acciardi,150015,Michael Roscommon Hs(A),531 Joralemon St,Essex,Essex,Belleville,Essex,On Premise,1.00,1.00
Alisa Acciardi,150016,Nutley Wine Shop,558 N Franklin Ave,Essex,Essex,Nutley,Essex,Off Premise,1.00,637.00
Alisa Acciardi,150020,Gallaghers Wine & Cheese,559 Bloomfield Ave,Essex,Essex,Bloomfield,Essex,Off Premise,1.00,218.00
Alisa Acciardi,150021,Town House Liq (A)& Wine,115 Watchung Ave,Essex,Essex,Montclair,Essex,Off Premise,1.00,460.00
Alisa Acciardi,150023,Brookdale W & S (A),1057 Broad St,Essex,Essex,Bloomfield,Essex,Off Premise,1.00,598.00
