Customer Num,Customer Name,Sales Rep Assigned,City,Route,On-Off Premise
150129,White Oaks Liquors,Alisa Acciardi,Unknown,Unknown,Off Premise
171016,Wine Warehouse (P) (Bayonne),Alisa Acciardi,Bayonne,Jersey City Fri,Off Premise
5002,100 Proof Bar & Bites,Allison Scott,Unknown,Unknown,On Premise
14006,46 Lounge (P),Allison Scott,Unknown,Unknown,On Premise
13013,Amer Lgn L Falls (Z),Allison Scott,Unknown,Unknown,On Premise
12048,Anthonys CF Pizza (Wayne),Allison Scott,Unknown,Unknown,On Premise
5003,Applebee's (A)Butler,Allison Scott,Unknown,Unknown,On Premise
14002,Applebee's (Totowa) (A),Allison Scott,Unknown,Unknown,On Premise
24022,Applebee's Clifton,Allison Scott,Unknown,Unknown,On Premise
12049,Aramark Educational Services@WPU,Allison Scott,Unknown,Unknown,On Premise
10007,Bardis (P),Allison Scott,Pequannock,Wayne Wed,On Premise
15074,Bask 46,Allison Scott,Woodland Park,Totowa Wed,On Premise
15004,Blackjack Mulligan's Public House,Allison Scott,Woodland Park,Totowa Thu,On Premise
7003,Blu Ale House,Allison Scott,Riverdale,10055 Tue,On Premise
23001,Bogey's Sport Bar,Allison Scott,Unknown,Unknown,On Premise
19012,Bottagra Rest (P),Allison Scott,Hawthorne,Ramsey Wed,On Premise
24061,Breaker Billiards,Allison Scott,Unknown,Unknown,On Premise
12036,Brokedown Palace,Allison Scott,Unknown,Unknown,On Premise
15070,Brownstone House,Allison Scott,Unknown,Unknown,On Premise
12065,"Buffalo Wild Wings - Wayne, NJ",Allison Scott,Unknown,Unknown,On Premise
12032,Casa Don Manuel,Allison Scott,Unknown,Unknown,On Premise
19005,Celtic Corner,Allison Scott,Unknown,Unknown,On Premise
5008,Celtic Crossings,Allison Scott,Unknown,Unknown,On Premise
12041,Cheesecake Fact (A)Wayne,Allison Scott,Unknown,Unknown,On Premise
25077,Chevy's Fresh Mex (A)Clif,Allison Scott,Unknown,Unknown,On Premise
7005,Chili's (Riverdale),Allison Scott,Unknown,Unknown,On Premise
13018,Chili's Little Falls,Allison Scott,Unknown,Unknown,On Premise
24060,Clifton Billiards (Z),Allison Scott,Unknown,Unknown,On Premise
23020,Clifton City Tavern(P),Allison Scott,Unknown,Unknown,On Premise
25082,Crab Island Cajun Seafood & Bar,Allison Scott,Unknown,Unknown,On Premise
17003,D'CARBON BAR AND GRILL haledon,Allison Scott,Unknown,Unknown,On Premise
19028,D'Carbon Restaurant Hawthorne,Allison Scott,Unknown,Unknown,On Premise
15048,D'carbon Restaurant,Allison Scott,Unknown,Unknown,On Premise
24048,Dante's,Allison Scott,Clifton,Clifton 2 Fri,On Premise
12034,"Dave & Buster's Nj, Inc",Allison Scott,Unknown,Unknown,On Premise
25036,Dingbatz (P),Allison Scott,Unknown,Unknown,On Premise
24029,Dingo's Den (P),Allison Scott,Clifton,10061 Wed,On Premise
12031,Double Ai Asian Bistro,Allison Scott,Unknown,Unknown,On Premise
21043,Duffy's Tavern (Z),Allison Scott,Unknown,Unknown,On Premise
25056,Emerald Corner (Z),Allison Scott,Unknown,Unknown,On Premise
58005,Feathers (A),Allison Scott,Unknown,Unknown,On Premise
